id,platform,title,content,tickers,submitted_at,keywords
24,Yahoo Finance 台灣,外資爆千億提款潮！台股大屠殺要來了？專家揭「唯一曙光」,"",{},2026-03-22 20:10:00.138435,{}
25,Yahoo Finance 台灣,逢高出清！「國家隊」狂砍3檔主動式ETF破1.3萬張　00878、00929、00940同遭提款4.7億,"",{},2026-03-22 20:10:00.138435,{etf}
26,Yahoo Finance 台灣,房市管制微鬆綁  金管會：銀行須落實風險控管,"",{},2026-03-22 20:10:00.138435,{}
27,Yahoo Finance 台灣,南韓打房再出招！　李在明：持有多房官員「禁止參與房市政策」,"",{},2026-03-22 20:10:00.138435,{}
28,Yahoo Finance 台灣,債券ETF免證交稅擬延長10年 估逾200萬人受惠,"",{},2026-03-22 20:10:00.138435,{etf}
29,Yahoo Finance 台灣,三大法人賣超台股1702億！面板雙虎受傷深　群創單週遭砍15.5萬張淌血43億元,"",{},2026-03-22 20:10:00.138435,{}
30,Yahoo Finance 台灣,央行限貸令微解封！房市復活起飛？兩大房仲龍頭「信義永慶」分析一次看,"",{},2026-03-22 20:10:00.138435,{}
31,Yahoo Finance 台灣,台股狂震！外資猛砸5.35億敲進「這3檔」主動式ETF　00929、00940也獲青睞入手1.8萬張,"",{},2026-03-22 20:10:00.138435,{etf}
32,Yahoo Finance 台灣,春季徵才企業博覽會桃園登場 張善政鼓勵青年學子順利開展職涯,"",{},2026-03-22 20:10:00.138435,{}
33,Yahoo Finance 台灣,央行微鬆綁信用管制！解凍房市效益有限？李同榮：還是會像一攤死水,"",{},2026-03-22 20:10:00.138435,{}
34,Yahoo Finance 台灣,【神山股民3】到底誰在賣？只有這身份股東持續退場,"",{},2026-03-22 20:10:00.138435,{}
35,Yahoo Finance 台灣,【神山股民2】195萬零股股東到底持有多少台積電股票？ 破4300億元,"",{},2026-03-22 20:10:00.138435,{}
36,Yahoo Finance 台灣,【神山股民1】魏哲家二年成績單！台積電股東改寫246萬人新高,"",{},2026-03-22 20:10:00.138435,{}
37,Yahoo Finance 台灣,【虎航股東會紀念品2】虎航算盤得打得精？ 800元回饋金有機會帶來13億元業績,"",{},2026-03-22 20:10:00.138435,{}
38,Yahoo Finance 台灣,【虎航股東會紀念品1】花53元買一股可拿800元回饋！虎航股東人數暴衝4倍二周增10萬人,"",{},2026-03-22 20:10:00.138435,{}
39,Yahoo Finance 台灣,【499之亂落幕2】5G接棒上場？台灣5G滲透率站穩4成 這家破44%居三雄之冠,"",{},2026-03-22 20:10:00.138435,{}
40,Yahoo Finance 台灣,【499之亂落幕1】4G低價吃到飽退場用戶怎麼辦？通訊達人教戰自救5妙招,"",{},2026-03-22 20:10:00.138435,{}
41,Yahoo Finance 台灣,台積電很爆肝？魏哲家駁：醫生才是 但我們罰款全國第七很丟臉,"",{},2026-03-22 20:10:00.138435,{}
