model,desc,paper,n,acc,auc,mcc,f1,conf_acc,conf_cov,ls_mean,ls_t,ls_win,folds_auc_gt_half,sec
ensemble_top3,前三名機率平均（stocknet_lite + transformer + dict_xgb）,集成,24239,0.6697058459507406,0.6507967301116953,0.14169616463825024,0.5067879090834877,0.715148095909732,0.7312595404100829,0.013339632292647008,31.61277373312554,0.9281767955801105,9/9,0.0
gru_price,純價格 GRU（10 日）,基準,24239,0.6671067288254466,0.6467751492247014,0.13322259505545805,0.5052484789958985,0.7141309924186285,0.7237509798259004,0.013332247644163936,29.42541739711256,0.9152854511970534,9/9,14.2
stocknet_lite,StockNet-lite：文字+價格 bi-GRU + 時間注意力,Xu & Cohen 2018（去 VAE）,24239,0.6657865423491068,0.6429065322754061,0.1296326428844386,0.5054323306086719,0.7113220416050926,0.725855027022567,0.012762671100082397,30.3740278389119,0.9244935543278084,9/9,41.4
transformer,Transformer encoder 時序融合（10 日）,Sawhney 2020 / 時序 Transformer,24239,0.6648789141466233,0.6416689283932073,0.13037634430050216,0.5103119025578436,0.7066837902730471,0.7388506126490367,0.012834208711622403,28.076996780016596,0.8968692449355433,9/9,40.4
dict_xgb,字典情緒 + 價格 → XGBoost,Tetlock 2007 字典情緒；現有 M2,24239,0.6684269153017863,0.640651356028187,0.14960782885465523,0.5260868803145025,0.7099821149116924,0.7381492635834812,0.01253145853839981,27.289956202326074,0.9134438305709024,9/9,2.1
sentzh_xgb,中文財經情緒模型分數 + 價格 → XGBoost,FinBERT 路線（Araci 2019；FinBERT-LSTM 2024）,24239,0.6672304963076034,0.6401514349044795,0.14450806097976063,0.5227387311901057,0.7112257485701469,0.7357564255951153,0.012502910164897308,28.70265387736593,0.8950276243093923,9/9,2.4999999999999996
fused_lgbm,向量 PCA32 + 情緒 + 注意力 + 價格 → LightGBM,特徵融合,24239,0.6680143570279302,0.6387783661045008,0.141770158210293,0.5152873248859171,0.7100849731663685,0.7379842402739387,0.01221605728247598,26.98272751787391,0.8950276243093923,9/9,6.500000000000001
han,HAN：新聞層注意力 + 日層 bi-GRU 注意力,Hu et al. 2018 WSDM,24239,0.6633111927059697,0.6381732387060288,0.12526283297553636,0.5086862275856578,0.7107305017529744,0.7178101406823714,0.012586248138676967,28.538306029644623,0.9097605893186004,9/9,120.69999999999999
emb_xgb,MiniLM 日向量 + 價格 + 字典 → XGBoost,BERT 向量 + 樹（arXiv 2107.08721 精神）,24239,0.6655390073847931,0.6305733791224986,0.1314217555389212,0.5092776250325962,0.7043822039089036,0.7409134040183176,0.011328515103081773,24.19373407034977,0.861878453038674,9/9,32.199999999999996
price_logreg,純價格 Logistic,基準（動能／波動／量比）,24239,0.6625685878130286,0.6278529047312289,0.0991822865987086,0.4729020321284102,0.7041308566675908,0.7440488468996246,0.013085191226111131,27.88339152023925,0.9097605893186004,9/9,0.0
attn_logreg,異常注意力 + 則數 + 價格 → Logistic,"Da, Engelberg & Gao 2011",24239,0.6626098436404142,0.627423165323042,0.09991843603164549,0.4738201878194482,0.7052759920195079,0.7444201493460951,0.013081883670995572,27.50142351403691,0.9023941068139963,9/9,0.0
ding_cnn,事件向量 短／中／長期 CNN,Ding et al. 2015 IJCAI,24239,0.6643425883906102,0.6194676577650868,0.09171860593079902,0.4470393170841983,0.6943909171397323,0.7921531416312554,0.01219577653326334,26.021034001324363,0.8895027624309392,9/9,59.0
lr_fused,全部特徵（向量+價格+字典+情緒）→ Logistic,線性融合,24239,0.6588968191757085,0.6134638080564745,0.10995733384560763,0.5026810370786121,0.698959032907992,0.7371591237262264,0.011106042047970577,24.575952144639032,0.8655616942909761,9/9,4.7
news_only_xgb,只用新聞統計（無價格、無向量）→ XGBoost,消融：新聞本身,24239,0.6565864928421139,0.5141319531421784,0.0010359772607797788,0.4045894599120317,0.6609585764852196,0.8624943273237344,0.0021623102954446585,5.203631865848843,0.6003683241252302,9/9,1.4999999999999998
majority,多數類,基準,24239,0.6592681216221792,0.4771746254436886,0.0,0.39732464755463837,0.6592681216221792,1.0,0.0006292633238202245,1.5671889132779615,0.5193370165745856,0/9,0.5
