model,desc,paper,n,acc,auc,mcc,f1,conf_acc,conf_cov,ls_mean,ls_t,ls_win,folds_auc_gt_half,sec
ensemble_top3,前三名機率平均（transformer + attn_logreg + dict_xgb）,集成,24126,0.5405371798060185,0.53472654184776,0.05837279925661349,0.48508964122214804,0.5737106344135098,0.09081488850203101,0.01049176324411254,7.376907921348567,0.6377079482439926,9/9,0.0
transformer,Transformer encoder 時序融合（10 日）,Sawhney 2020 / 時序 Transformer,24126,0.5262787034734312,0.5282304938397244,0.03273116355045987,0.5011484054057652,0.5605370960400546,0.1821271657133383,0.00825793118553073,5.843816845294028,0.6025878003696857,9/9,44.0
attn_logreg,異常注意力 + 則數 + 價格 → Logistic,"Da, Engelberg & Gao 2011",24126,0.535521843654149,0.5269185170384234,0.04232592475991487,0.4448558683333166,0.5561833019460138,0.06602835115642874,0.0066893070664453035,4.557312006700927,0.5841035120147874,9/9,0.0
dict_xgb,字典情緒 + 價格 → XGBoost,Tetlock 2007 字典情緒；現有 M2,24126,0.530299262206748,0.5267688056431891,0.03725012498166157,0.4921303298892285,0.5573170731707318,0.23791759927049655,0.007112626300246728,5.0269293818936545,0.5970425138632163,9/9,2.7
price_logreg,純價格 Logistic,基準（動能／波動／量比）,24126,0.5326618585758103,0.5251141787692025,0.03274638678161696,0.43232458663475437,0.54253037884203,0.05798723368979524,0.005881267990991862,3.781794356007995,0.5619223659889094,9/9,0.0
han,HAN：新聞層注意力 + 日層 bi-GRU 注意力,Hu et al. 2018 WSDM,24126,0.5224653900356462,0.5239624280142849,0.010263977740205474,0.45506228337094956,0.5592377796188898,0.05002901434137445,0.003195702608243035,2.3289722358428304,0.5397412199630314,8/9,162.2
gru_price,純價格 GRU（10 日）,基準,24126,0.5340711265854265,0.5239338212683055,0.04025548214445631,0.4649222848907474,0.5616498464238702,0.09446240570339054,0.006067229538484803,3.7060938501006166,0.5600739371534196,8/9,14.799999999999999
sentzh_xgb,中文財經情緒模型分數 + 價格 → XGBoost,FinBERT 路線（Araci 2019；FinBERT-LSTM 2024）,24126,0.529263035729089,0.5236662009882807,0.03527517033223956,0.4924073029707483,0.5517122698330752,0.240860482467048,0.007055328365194233,5.2110624899630285,0.5914972273567468,9/9,3.5
transformer_L20,Transformer，回看 20 日,變體,24126,0.5277294205421537,0.5229832657775616,0.028802057002366308,0.48042037050249714,0.5547976352887676,0.18229296194976374,0.006627586329222683,4.483713332395323,0.600739371534196,7/9,61.70000000000001
fused_lgbm,向量 PCA32 + 情緒 + 注意力 + 價格 → LightGBM,特徵融合,24126,0.5278537677194728,0.5214868964693663,0.031214892123635152,0.48810373045132693,0.5510492332526231,0.20542153693111168,0.004951062765460716,3.6863769775168165,0.5988909426987061,8/9,9.6
gru_price_L20,純價格 GRU，回看 20 日,基準變體,24126,0.5340711265854265,0.5211922207853348,0.039655020735480134,0.46019921953869347,0.5661322645290581,0.08273232197629114,0.005688713682105047,3.554184460064132,0.5508317929759704,8/9,12.2
ding_cnn,事件向量 短／中／長期 CNN,Ding et al. 2015 IJCAI,24126,0.5338638812898947,0.5205178420874527,0.035963699553575534,0.4177471110645669,0.5379537953795379,0.037677194727679685,0.00523422075204219,3.6122729329083576,0.5508317929759704,9/9,55.4
stocknet_lite,StockNet-lite：文字+價格 bi-GRU + 時間注意力,Xu & Cohen 2018（去 VAE）,24126,0.5269004393600265,0.5191100337213481,0.023262917927492542,0.46578900252238753,0.5553257497414684,0.08016248031169693,0.0035323523916031604,2.479959517590816,0.5674676524953789,7/9,33.6
han_L5,HAN，回看 5 日,Hu et al. 2018 變體,24126,0.5259056619414739,0.5178873625062846,0.016846538683478723,0.4489484372262372,0.5544327055581075,0.09023460167454199,0.001860276133331585,1.2955629528149426,0.5212569316081331,7/9,106.9
stocknet_L20,StockNet-lite，回看 20 日,Xu & Cohen 2018 變體,24126,0.5280195639558982,0.5170789409670942,0.025651967713596992,0.46502244640777685,0.5662431941923775,0.06851529470281024,0.002612308861543772,1.7128149503659207,0.5249537892791127,7/9,48.300000000000004
et_fused,全部特徵 → ExtraTrees,樹融合,24126,0.5286412998424935,0.5157814330152599,0.01009210170397557,0.3747230703863953,0.4860557768924303,0.01040371383569593,0.004407949047836883,3.169629792008323,0.5582255083179297,7/9,114.00000000000001
rf_fused,全部特徵 → Random Forest,樹融合（M3 風格）,24126,0.5295531791428335,0.5152164377161709,0.019351450961356834,0.4063172933562812,0.5429769392033543,0.019771201193732903,0.0039317818173354975,2.896006216372039,0.5452865064695009,8/9,564.6999999999999
emb_xgb,MiniLM 日向量 + 價格 + 字典 → XGBoost,BERT 向量 + 樹（arXiv 2107.08721 精神）,24126,0.522796982508497,0.5149187662184185,0.01986314798920254,0.48362412356758855,0.5407613419085694,0.23845643703887923,0.005210306535912674,4.147806076947226,0.5878003696857671,9/9,50.10000000000001
lr_fused,全部特徵（向量+價格+字典+情緒）→ Logistic,線性融合,24126,0.5220094503854763,0.5136597522320708,0.024824860524464674,0.49974261887374516,0.5312598673823808,0.2625383403796734,0.003864836240234879,2.9428287358114966,0.5656192236598891,7/9,6.7
emb_logreg,MiniLM 日向量 mean/max + 價格 → Logistic,Sentence-BERT 2019,24126,0.5181546878885849,0.5131291691453664,0.02119734985451271,0.5041897037134627,0.5263467765675596,0.4224073613528973,0.002207045148699078,1.7806367516841008,0.5249537892791127,7/9,14.8
mlp_fused,多模態 MLP,多模態融合,24126,0.5237917599270496,0.5078979440375102,0.01011625650182966,0.44323483677792785,0.536096879366558,0.08899112990135125,0.00037211628551640644,0.312561981833074,0.5194085027726433,7/9,11.000000000000002
