news_id,category,title,event_type,direction,magnitude,is_expected,affected_tickers,scope,note
41220,TW,【台股投資週報】12檔營收創新高+配息5元以上績優股出列,,,,,,,
26892,TW,美喆-KY現增案完成募集 繼台南投資後將赴泰國設廠,,,,,,,
41165,TW,動力-KY受惠泛電競訂單拉貨穩健成長 Q3獲利年增逾4成EPS 1.8元,,,,,,,
26920,TW,vivo V50搶攻Z世代市場奏效 首月銷量成長逾三成,,,,,,,
15307,TW,兆豐銀信貸屢獲肯定 蟬連英國World Finance台灣最佳商業銀行,,,,,,,
15317,TW,〈智原法說〉Q3營收估季增1成  IP及NRE業績再拚新高,,,,,,,
17632,TW,漢來美食上半年賺逾半個股本 將進行多項大型展店計畫,,,,,,,
40726,TW,44搶13！國家藥科獎出爐：仲智數位AI檢測胰臟癌、台灣創材純化生物製劑並列金獎,,,,,,,
29220,TW,借鏡日本家族聯絡網 金管會推廣保單解約、提領通知指定家人,,,,,,,
17774,TW,〈聯詠法說〉手機備貨迎旺季 Q3營收季增1成 OLED TDDI明年量產,,,,,,,
17484,TW,〈台股盤後〉台積電漲勢略顯疲態 量縮上漲304點靠攏2萬2關卡,,,,,,,
40778,TW,【ETF觀察】《大賣空》Burry做空AI股！00990A成關鍵布局？AI市場真的有泡沫嗎？,,,,,,,
26549,TW,中港店部分品牌不續約 新光三越：與氣爆意外無關,,,,,,,
40668,TW,玉晶光2025年前三季EPS 22.41元 估Q4營運動能優於去年同期,,,,,,,
29136,TW,溢泰南京廠大搶中國商用淨水器成長商機 3月營收達11.85億元,,,,,,,
40752,TW,金像電規劃明年資本支出達72億元 對泰國廠還要投13億元,,,,,,,
26439,TW,去年淨賺290億創紀錄！臺銀開辦財富管理18年有底氣 勇奪財管2大獎,,,,,,,
15426,TW,逾3成國人未規劃老年財務支出 南山人壽教戰退休規劃攻略,,,,,,,
15298,TW,〈台股盤後〉季線成反壓 尾盤翻黑收跌24點 月線中止連5紅跌833點,,,,,,,
29274,TW,維田估Q2營運漸入佳境 全面盤點生產與美國市場應對關稅衝擊,,,,,,,
82330,US,美政府重啟後數據何時出爐？預期將顯示這些趨勢,,,,,,,
70620,US,特斯拉股價腰斬 馬斯克要員工別賣股票,,,,,,,
65912,US,「卡瑪拉慘崩」結束 川普對美股保持沉默,,,,,,,
81944,US,LinkedIn、IBM高層揭密：AI無法取代的三大關鍵能力！,,,,,,,
65865,US,〈財報〉速食需求堅韌 漢堡王母公司Restaurant Brands International營收超出預期,,,,,,,
81910,US,馬斯克同框黃仁勳談太空AI：5年內成最便宜算力來源,,,,,,,
64608,US,華爾街大空頭被告了！美證交會、司法部控香櫞資本涉嫌詐欺 不法獲利逾6億,,,,,,,
82212,US,女股神連四日大幅減碼 特斯拉狂瀉近7%,,,,,,,
71844,US,川普暫停關稅90日後 比特幣漲逾7% 重新站回8萬美元以上,,,,,,,
64538,US,Fed決策公布在即 高盛CEO改變利率預測,,,,,,,
70483,US,特斯拉下挫近6% 連五日大好漲勢中斷,,,,,,,
71800,US,川普挑戰獨立機構解雇權 鮑爾去留可能牽動其中,,,,,,,
81830,US,Fed柯林斯：利率「暫時適宜」 再降息需見就業明顯轉弱,,,,,,,
71930,US,特斯拉恐受波及 傳馬斯克向川普求情降關稅不果,,,,,,,
70714,US,攜手通義千問、開源加速創新 蘇姿丰AMD AI PC峰會重點一次看,,,,,,,
65845,US,英特爾股票狂跌後CEO大筆買入 但這可能不是你想的看漲信號？,,,,,,,
82033,US,美股年末行情受挫：科技股失速 資金輪動至防禦性板塊,,,,,,,
71972,US,〈美對等關稅〉特斯拉盤前挫近9%領跌7巨頭！專家：當前拋售潮與1987年崩盤數據驚人相似,,,,,,,
81900,US,孤獨的AI空頭！為何有分析師勇敢下調亞馬遜與微軟評級？,,,,,,,
70476,US,Fed官員憂關稅對通膨影響「恐非暫時性」 利率可能持平一段時間,,,,,,,
106252,GLOBAL,印度央行降息並暗示進一步寬鬆 以應對美國關稅衝擊,,,,,,,
106141,GLOBAL,貿易戰再起 新興市場債券還能投資嗎？,,,,,,,
110940,GLOBAL,美政府結束停擺 數據不確定性仍高 黃金有望創1個月最佳單周表現,,,,,,,
105333,GLOBAL,美國財長：貿易夥伴可透過降低貿易壁壘避免4月加徵關稅,,,,,,,
100883,GLOBAL,幣圈陷「極度恐慌」！市值失守2兆美元 比特幣跌破5萬美元 以太幣腰斬,,,,,,,
100846,GLOBAL,中國前7個月貨物貿易進出口總值人民幣24.83兆 年增6.2%,,,,,,,
106178,GLOBAL,調整製造布局 意法半導體3年內要裁2800人,,,,,,,
100798,GLOBAL,OpenAI支持的人形機器人Figure 02發表 深度學習力引關注,,,,,,,
99692,GLOBAL,32小時央行大戰籠罩市場 交易員繃緊神經,,,,,,,
99602,GLOBAL,鉅亨速報 - Factset 最新調查：默克藥廠(MRK-US)EPS預估下修至8.03元，預估目標價為142.00元,,,,,,,
105064,GLOBAL,中國首發特別國債 為四大國銀注資人民幣5000億元,,,,,,,
110809,GLOBAL,川普稱將或改2026世界杯賽事舉辦地！法律專家：他沒有權力,,,,,,,
105249,GLOBAL,〈紐約匯市〉美元兌歐元周線收高 投資人獲利了結,,,,,,,
110822,GLOBAL,中國9月減持5億美元美債 今年來第五次減碼,,,,,,,
106133,GLOBAL,"普丁宣布：未來10年投入1,000億美元 用於海軍艦船建造",,,,,,,
110762,GLOBAL,比特幣跌破8.7萬美元創6個月新低 大戶9月來已賣出200億美元,,,,,,,
100925,GLOBAL,中國7月財新服務業PMI升至52.1 就業重回擴張,,,,,,,
110953,GLOBAL,〈能源盤後〉Lukoil制裁將生效 原油上漲 唯庫存利空縮限漲幅,,,,,,,
100955,GLOBAL,亞股「黑色星期五」 日股寫2020年以來最大盤中跌幅,,,,,,,
110731,GLOBAL,李彥宏的AI豪賭！廣告業務連6季下滑 百度Q3虧逾112億但AI創收近百億 增速迅猛成亮點,,,,,,,
